instanceID	dataIDs	label_set	non_label
0_ball_nn	fic_1845_7183.txt-96-4,fic_1835_7064.txt-1770-4,fic_2008_36315.txt-205-3,mag_1856_576366.txt-108-8	1,2,3,4,5,6	-
1_ball_nn	nf_1855_771880.txt-246-8,mag_1835_554348.txt-508-19,fic_2008_36315.txt-205-3,mag_1856_576366.txt-108-8	1,2,3,4,5,6	-
2_ball_nn	nf_1855_771880.txt-246-8,mag_1835_554348.txt-508-19,fic_2008_36315.txt-205-3,mag_1856_576366.txt-108-8	1,2,3,4,5,6	-
3_ball_nn	fic_1966_10470.txt-2474-29,fic_1848_7005.txt-3453-29,fic_2008_36315.txt-205-3,mag_1856_576366.txt-108-8	1,2,3,4,5,6	-
4_ball_nn	fic_1971_10537.txt-7046-16,fic_1843_7208.txt-4384-11,mag_1999_404416.txt-81-13,fic_2006_27868.txt-198-8	1,2,3,4,5,6	-
5_ball_nn	mag_1999_404416.txt-81-13,fic_2006_27868.txt-198-8,fic_2007_52171.txt-163-54,fic_1843_7208.txt-4384-11	1,2,3,4,5,6	-
6_ball_nn	mag_2001_416864.txt-126-1,fic_2006_27868.txt-198-8,fic_2007_52171.txt-163-54,fic_1843_7208.txt-4384-11	1,2,3,4,5,6	-
7_ball_nn	fic_1971_10537.txt-7046-16,fic_2006_27868.txt-198-8,fic_2007_52171.txt-163-54,fic_1843_7208.txt-4384-11	1,2,3,4,5,6	-
8_ball_nn	fic_1964_780000.txt-1166-5,fic_2006_27868.txt-198-8,mag_1994_352587.txt-5-22,mag_1960_92728.txt-98-20	1,2,3,4,5,6	-
9_ball_nn	fic_1971_10537.txt-7046-16,fic_2006_27868.txt-198-8,mag_1994_352587.txt-5-22,mag_1960_92728.txt-98-20	1,2,3,4,5,6	-
10_ball_nn	mag_1994_352587.txt-5-22,fic_2006_27868.txt-198-8,fic_2007_52171.txt-163-54,fic_1843_7208.txt-4384-11	1,2,3,4,5,6	-
11_ball_nn	fic_1823_7241.txt-6369-39,fic_1846_7527.txt-54-30,mag_1994_352587.txt-5-22,fic_2006_27868.txt-198-8	1,2,3,4,5,6	-
12_ball_nn	fic_1852_69.txt-5049-17,nf_1838_747482.txt-1194-43,fic_2007_52171.txt-163-54,fic_1843_7208.txt-4384-11	1,2,3,4,5,6	-
